id,address,region,state,city,neighborhood,sub_neighborhood,locality,latitude,longitude,data,police_action,agent_presence,police_unit,main_reason,complementary_reason,clippings,massacre,id_victim,type,situation,circumstances,deathDate,personType,age,ageGroup,genre,race,place,serviceStatus,qualifications,politicalPosition,politicalStatus,partie,coorporation,agentPosition,agentStatus,unit
50855,"Águas Claras, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,AGUAS CLARAS,,LOTEAMENTO CONDOR,-12.8914878,-38.4381777,"19/07/2022, 06:30:00",true,true,"RONDESP, 3CIPM",Operação policial,,,false,06676b1a-5122-461f-9c40-8b38634ea415,People,dead,Sem identificação,"19/07/2022, 06:30:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50839,"Praia do Farol da Barra, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,BARRA,,,-13.0098997,-38.5284848,"19/07/2022, 12:00:00",false,false,,Homicidio/Tentativa,,,false,2860abf3-50de-4bdd-8913-f206fed77fb5,People,dead,Sem identificação,"18/07/2022, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50847,"Avenida Manoel Dias da Silva - Pituba, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,PITUBA,,,-13.0064531,-38.461102,"19/07/2022, 16:30:00",false,false,,Tentativa/Roubo,,,false,b43d59d5-da0b-412b-8c7b-78670c152b3b,People,wounded,Sem identificação,,Civilian,52,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50866,"Lobato, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,LOBATO,,,-12.9167141,-38.4806319,"19/07/2022, 21:00:00",true,true,N�o identificado,Ação policial,,,false,3d873a9f-8d8c-47a5-8609-08687667bd8d,People,dead,Sem identificação,"19/07/2022, 21:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50852,"Conjunto Santa Madalena - Rua Doutor Flaviano Guimarães - Engenho Velho da Federacao, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,ENGENHO VELHO DA FEDERACAO,,CONJUNTO SANTA MADALENA,-13.0032563,-38.4940039,"20/07/2022, 08:35:00",true,true,7 DT,Operação policial,,,true,72db574d-4cd7-47a0-ade6-5c7e331a3a65,People,dead,Chacina,"20/07/2022, 08:35:00",Civilian,18,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50852,"Conjunto Santa Madalena - Rua Doutor Flaviano Guimarães - Engenho Velho da Federacao, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,ENGENHO VELHO DA FEDERACAO,,CONJUNTO SANTA MADALENA,-13.0032563,-38.4940039,"20/07/2022, 08:35:00",true,true,7 DT,Operação policial,,,true,5dee026f-17e0-4764-9683-7ff30f6c065d,People,dead,Chacina,"20/07/2022, 08:35:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50852,"Conjunto Santa Madalena - Rua Doutor Flaviano Guimarães - Engenho Velho da Federacao, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,ENGENHO VELHO DA FEDERACAO,,CONJUNTO SANTA MADALENA,-13.0032563,-38.4940039,"20/07/2022, 08:35:00",true,true,7 DT,Operação policial,,,true,6de47c32-cd28-4017-ad81-722d42509ca9,People,dead,Chacina,"20/07/2022, 08:35:00",Civilian,27,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50867,"Rua São Mateus - São Cristóvão, Salvador - BA, 41500-100, Brasil",Nordeste,Bahia,SALVADOR,SAO CRISTOVAO,,PLANETA DOS MACACOS,-12.9142543,-38.3475602,"20/07/2022, 12:00:00",false,false,,Homicidio/Tentativa,,,false,1676ad40-029e-44a3-8748-e6a0090099df,People,dead,Sem identificação,"20/07/2022, 12:00:00",Civilian,,adulto,homem cis,Não identificado,sem identificação,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50868,"R. da Caridade - Pau da Lima, Salvador - BA, 41235-045, Brasil",Nordeste,Bahia,SALVADOR,PAU DA LIMA,,BECO DO BOZO,-12.918836913056527,-38.44321180978696,"20/07/2022, 16:23:00",false,false,,Disputa,,,false,1c2e7c35-83df-400c-9641-308a954eed9a,People,dead,Sem identificação,"20/07/2022, 16:23:00",Civilian,,adulto,homem cis,Negra,sem identificação,não se aplica,PPTE,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
50889,"Rua Coréia do Sul - Santa Cruz, Salvador - BA, Brasil",Nordeste,Bahia,SALVADOR,SANTA CRUZ,,,-13.0063558,-38.4808181,"21/07/2022, 05:30:00",false,false,,Homicidio/Tentativa,,Feminicídio/tentativa,false,91d5d4ce-eae6-458d-9e09-6c2d770ae706,People,dead,Feminicídio/tentativa,"21/07/2022, 05:30:00",Civilian,26,adulto,mulher cis,Não identificado,residência,não se aplica,Não identificado,não se aplica,não se aplica,,não se aplica,não se aplica,não se aplica,
